Unnamed: 0,Cloth_Desc,Price
121,Vanity Fair® Sport Full-Figure Wireless Bra 71500,50
122,Women's Tek Gear® Essential Hooded Jacket,26.99
123,Bali® Comfort Revolution® Easylite® Seamless Wireless ...,48
124,Women's Simply Vera Vera Wang High-Rise Flare Pants,47.5
125,Women's Croft & Barrow® Pull-On Capri Jeans,36
126,Tek Gear® Core Medium-Impact V-Neck Sports Bra,24.99
127,Women's Croft & Barrow® Splitneck Pintuck Blouse,32.99
128,Women's Croft & Barrow® Ruffle Placket Henley Top,36
129,Juniors' SO® Short Sleeve Crewneck Tee,9.99
130,Women's Eddie Bauer Cirruslite Packable Down Jacket,64.5
131,Women's FLX Affirmation High-Waisted 7/8 Ankle ...,28.62
132,Women's LC Lauren Conrad Fitted Blazer,59.99
133,Women's LC Lauren Conrad High-Waist Super Skinny ...,34.99
134,Women's Nine West Pleat Sleeve Crewneck Top,26.99
135,Women's Lee® Ultra Lux Comfort Waistband Straight-Leg ...,39.99
136,Women's Jockey® Elance Breathe 3-pack Pointelle ...,24
137,Women's AB Studio Shawl Collar Sweater Cardigan,29.99
138,Women's LC Lauren Conrad Ruffled Peasant Blouse,39.99
139,Women's Tek Gear® Performance Long Sleeve Tee,16.99
140,Women's Simply Vera Vera Wang V-Neck Top,44
141,Women's Nine West Double Breasted Blazer,62.4
142,Plus Women's Croft & Barrow® Classic Pull-On Jeans,29.99
143,Juniors' SO® Favorite Long Sleeve Zip-Up Hoodie,24.99
144,Petite Nine West Magic Waist Barely Bootcut Pants,38.99
145,Women's Croft & Barrow® Comfort Stretch Blazer,36
146,Plus Size Nine West Magic Waist Barely Bootcut Pants,38.99
147,Women's Jockey® 3-pk. Supersoft French Cut Panty Set ...,27
148,Juniors' SO® Low-Rise Bootcut Jeans,24.99
149,Women's Nine West Slimming Straight Jeans,34.99
150,Bali® Comfort Revolution Smart Sizes Wireless ...,44
151,Women's Nine West High-Waisted Wide-Leg Trouser ...,48.99
152,Plus Size Sonoma Goods For Life® Cargo Utility Capri ...,40
153,Playtex® 18-Hour Active Lifestyle Full-Figure Sports ...,21.99
154,Plus Size Croft & Barrow® Effortless Stretch Bootcut ...,36.99
155,Women's LC Lauren Conrad Feel Good Super High-Waist ...,39.99
156,Women's LC Lauren Conrad Raglan Ruffle-Sleeve Tunic,29.99
157,Women's Lee® Flex-To-Go Cargo Capri Pants,48
158,Juniors' SO® Favorite Long Leggings,11.99
159,Women's Nine West High-Waisted Tapered Pants,38.99
160,Juniors' Unionbay Blaire Stretch Twill Skinny Utility ...,39.99
161,Women's Croft & Barrow® Effortless Stretch Skort,36
162,Petite Tek Gear® Ultrasoft Fleece Pant,22.99
163,Women's Levi's® 724™ High Rise Straight Jeans,48.65
164,Women's Lee® Legendary Bootcut Jeans,34.99
165,Women's Gaiam Hudson Joggers,38.5
166,Women's Columbia Switchback III Hooded Packable ...,49.99
167,Women's Simply Vera Vera Wang Simply Modern Bootcut ...,31
168,Women's Croft & Barrow® Fit & Flare Midi Dress,39.99
169,Women's DRAPER JAMES RSVP™ High-Rise Skinny Jeans,54.4
170,Plus Size Sonoma Goods For Life® Essential Mid-Rise ...,12.99
171,Women's Jockey® Elance Breathe 3-pack French Cut ...,24
172,"Women's Sonoma Goods For Life® Easy Pull-On 5"" ...",32
173,Women's Gloria Vanderbilt Amanda Capris,54
174,Plus Size Tek Gear® Essential Hooded Jacket,26.99
175,Women's Levi's® 501™ High-Rise Straight Leg Jeans,59.15
176,Women's Tek Gear® Essential Short Sleeve Tee,14.99
177,Women's Nine West Knot-Back Long Sleeve Dress,35
178,Women's Croft & Barrow® Extra Soft V-Neck Cardigan,24
179,"Warners Cloud 9® Super Soft, Smooth Invisible Look ...",44
180,Warners Cloud 9® Super Soft Wireless Lift Comfort Bra ...,44
181,Women's Cuddl Duds® Cozy Short Sleeve Pajama Shirt & ...,40.5
182,Plus Size Croft & Barrow® Essential Comfort Stretch ...,31.4
183,Juniors SO® Favorite Seamless Tunic Cami,4.8
184,"Women's Sonoma Goods For Life® High-Waist 5"" Jean ...",32
185,Women's Levi's® Boyfriend Jeans,48.65
186,Women's ZeroXposur Lillian Plush-Lined Soft Shell ...,80
187,Women's Skechers® GOWALK™ Pants,44.1
188,Bali® Double Support Comfort-U Wireless Full-Figure ...,44
189,Women's Lee® Flex-To-Go Twill Bermuda Shorts,44
190,Women's Croft & Barrow® Essential Classic Pique Polo ...,16.99
191,Plus Size Glamorise Full-Figure Wonderwire Front ...,58
192,Women's Simply Vera Vera Wang Relaxed Boyfriend Crop ...,39.99
193,Women's R&M Richards Beaded Godet Jacket & Dress Set,129
194,Women's Tek Gear® Ultrasoft Fleece Jogger Pants,22.99
195,Women's Croft & Barrow® Smocked Sleeveless Shell Top,30
196,Maidenform® Love the Lift® Plunging Push-Up Bra ...,48
197,Women's Croft & Barrow® Extra Soft Crewneck Sweater,21.6
198,Plus Size Levi's® Classic Straight Jeans,48.65
199,Women's Nine West Long Sleeve Sweetheart Peplum Top,26.4
200,Plus Size Lee® Flex Motion Straight-Leg Jeans,42.99
201,Women's Sonoma Goods For Life® Smocked Tiered Midi ...,41.6
202,Women's Tek Gear® Essential Burnout Tee,14.99
203,Women's Simply Vera Vera Wang Stretch Bootcut Jeans,44.99
204,Petite Alfred Dunner Classic Pull-On Straight-Leg ...,29.62
205,Womens Maidenform® Comfort Devotion® Extra Coverage ...,48
206,Women's Nine West Drop Shoulder Blouson Sleeve ...,35
207,Women's Vanity Fair® Perfectly Yours Ravissant 3-Pack ...,30
208,Women's Eddie Bauer Cirruslite Down Parka Coat,89.5
209,Vanity Fair® Illumination Full-Figure Bra 76338,50
210,Women's Croft & Barrow® Button-Front Denim Jacket,34.99
211,Women's Sonoma Goods For Life® Cropped Jean Overalls,34.99
212,Women's Levi's® 725™ High Rise Bootcut Jeans,48.65
213,Women's Croft & Barrow® Waffle Texture Robe,32.99
214,Bali® Live It Up Full-Figure Bra 3353,44
215,Women's Levi's® 726 High-Rise Flare Jeans,48.65
216,Women's Levi's® 315™ Shaping Bootcut Jeans,48.65
217,Plus Size Croft & Barrow® Splitneck Pintuck Blouse,34.99
218,Women's Croft & Barrow® Tiered Textured Blouse,24
219,Women's Tek Gear® Essential Short Sleeve Graphic Tee,13.49
220,Womens Bali® Lace Desire® Unlined Full Figure ...,48
221,Plus Size Tek Gear® Ultrasoft Fleece Crewneck ...,22.99
222,Juniors' SO® High-Rise Skinny Pull On Jeggings,24.99
223,Juniors' Unionbay Stretch Soft Sateen Jogger Pants,39.99
224,Olga® by Warner's® Bras: Cloud 9 Full-Figure ...,44
225,Women's Croft & Barrow® Eyelet Knot Waist Dress,49.99
226,Women's Sonoma Goods For Life® 5-Pack Geo Crew Socks,9.99
227,Women's Sonoma Goods For Life® Relaxed Button Down ...,29.99
228,Lilyette® by Bali® Comfort Lace Full-Figure Minimizer ...,48
229,Women's Levi's® High Rise Wedgie Straight Jeans,55.65
230,Women's Lands' End Retro Tummy Slimmer High-Waist ...,58.95
231,Maidenform® Love the Lift® Dreamwire® Push-Up Bra ...,48
232,Women's London Fog Hood Water-Resistant Coat,90
233,Women's Simply Vera Vera Wang Ruffle Shirt Dress,46.4
234,Women's Simply Vera Vera Wang High Rise Faux Leather ...,46
235,Women's Croft & Barrow® Cozy Short Sleeve ...,36
236,Women's Gaiam Om High-Waisted Pocket Ankle Leggings,38.5
237,Playtex® 18 Hour Front-Closure with Flex Back ...,21.99
238,Simply Vera Vera Wang Mid Rise All-Day Denim Legging,42
239,Juniors' Plus Size SO® Short Sleeve V-Neck Core Tee,9.2
240,Plus Size Sonoma Goods For Life® Paperbag Waist Capri ...,40
241,Women's Levi's® 311 Shaping Capris,59.5
242,Warners Cloud 9® Super Soft Underwire Lightly Lined ...,46
243,Women's Nina Leonard Floral Lace Sheath Cocktail ...,44.8
244,Women's Lands' End Faux-Fur Hood Quilted Long Down ...,202.96
245,Bali® One Smooth U® Ultra Lite Spacer Wireless Bra ...,48
246,Women's LC Lauren Conrad Pleated Scoopneck Top,36.99
247,Women's Tek Gear® Ultrastretch Flare Pant,32.99
248,Women's Croft & Barrow® Long Sleeve Pajama Shirt & ...,29.99
249,Plus Size Croft & Barrow® Pull-On Girlfriend Jeans,32.99
250,Nike Swoosh Medium-Impact Sports Bra,27.99
251,Juniors' WallFlower Luscious Curvy Bling Bootcut ...,39.99
252,Women's Nine West Curvy Sculpting Skinny Jeans,34.99
253,Bali® Satin Tracings Full-Figure Minimizer Bra 3562,48
254,Women's Tek Gear® Essential High-Waisted Leggings,24.99
255,Simply Vera Vera Wang Live-In High Rise Legging,26
256,Olga® by Warner's® No Side Effects Full-Figure ...,46
257,Plus Size Tek Gear® Ultrasoft Fleece Cowlneck Tunic,29.99
258,Women's Nine West Easy V-Neck Tank,11.99
259,Women's Lands' End Faux-Fur Hood Long Down Winter ...,167.96
260,Women's Hanes Ultimate® 5-Pack Comfortsoft® Stretch ...,27
261,Hanes Ultimate® Soft Convertible T-Shirt Bra HU02,40
262,Plus Size Tek Gear® Pocket High-Waisted Capri ...,21.99
263,Playtex® Bra: 18 Hour Seamless Smoothing Full-Figure ...,21.99
264,Women's Nina Leonard Crochet-Hem Midi Dress,43.4
265,Women's Tek Gear® Essential Straight-Leg Workout ...,21
266,Juniors' SO® Waffle Cardigan,26.4
267,Women's Croft & Barrow® Roll-Tab Utility Henley Top,30
268,Women's Nine West Ribbed Fitted Elbow-Sleeve Tee,14.99
269,Women's R&M Richards Flyaway Jacket & Beaded Neck ...,76.3
270,Women's Nine West Long Sleeve Structured Button-Down ...,36.99
271,Women's Croft & Barrow® Soft Roll-Tab Shirt,21.6
272,Women's LC Lauren Conrad Feel Good Mid Rise Barely ...,39.99
273,Women's LC Lauren Conrad Peplum Hem Faux-Wrap Dress,48
274,Women's Jockey® No Panty Line Promise® 3-Pack Hip ...,30
275,Plus Size Croft & Barrow® Short Sleeve Knit ...,27.99
276,Women's Tek Gear® Essential Bermuda Shorts,17.5
277,Women's Sonoma Goods For Life® Everyday Ribbed Tank,9.99
278,Women's Sonoma Goods For Life® Short Sleeve Curved ...,9.99
279,Women's Levi's® 711™ Skinny Jeans,48.65
280,Women's Sonoma Goods For Life® Ruffle Sleeve Smocked ...,41.6
281,Women's Nike Sportswear Club Fleece Midrise Joggers,52.5
282,Women's Croft & Barrow® Easy Pull-On Knit Capri ...,30
283,Women's Nine West Side Zip High-Waisted Skinny Ankle ...,29.99
284,Petite Croft & Barrow® Effortless Stretch Pull-On ...,37.5
285,Women's Simply Vera Vera Wang Braided Long Cardigan ...,44.8
286,Women's Simply Vera Vera Wang Banded-Hem Draped Top,29.99
287,Women's Bali® 2-Pack Firm Control Tummy Panel Shaping ...,37
288,Women's Nine West Curvy Slimming Straight Jeans,34.99
289,Women's Nike Sportswear Club Fleece Full-Zip Hoodie,65
290,Women's LC Lauren Conrad Jean Jacket,44.99
291,Women's Lee® Ultra Lux Comfort Waistband Skinny ...,39.99
292,Women's Sonoma Goods For Life® Comfort Waist Pull-On ...,21.6
293,Women's Under Armour Tech™ Twist V-Neck Tee,19.99
294,Olga® by Warner's® Luxury Lift Full-Figure ...,42
295,Plus Size Sonoma Goods For Life® Three Quarter Sleeve ...,40
296,Women's Croft & Barrow® Flutter Sleeve Dress,39.99
297,Women's Simply Vera Vera Wang Simply Modern Skinny ...,39.99
298,Women's Simply Vera Vera Wang Textured Crewneck Tee,29.99
299,Juniors' WallFlower Legendary Belted Slim Bootcut ...,39.99
300,Petite Croft & Barrow® Essential Comfort Stretch ...,28.8
301,Women's Nina Leonard Smocked Flutter Sleeve Print ...,35
302,Women's Alfred Dunner Pull-On Straight-Leg Pants,29.62
303,Women's AB Studio Fleck Cowlneck Tunic Sweater,29.99
304,Women's Croft & Barrow® Effortless Stretch Bermuda ...,36
305,Playtex® Bras: 18 Hour Posture Boost Full-Figure Wire ...,21.99
306,Women's Nine West Faux-Fur Collar Short Puffer ...,98
307,Plus Size Tek Gear® Core High-Waisted Side Pocket 7/8 ...,32.99
308,Women's Croft & Barrow® Classic Ribbed Open-Front ...,24
309,Women's Croft & Barrow® Easy Pull-On Skort,30
310,Juniors' SO® Low-Rise Skinny Jeans,24.99
311,Women's White Mark Plaid Shacket,47.25
312,Juniors' SO® Satin Trim Cami,10
313,Women's RED HOT by SPANX® Convertible Cupped ...,66
314,Plus Size Alfred Dunner Pull-On Straight-Leg Pants,31.87
315,Petite Cuddl Duds® Velour Fleece V-Neck Pajama Top ...,26
316,Women's Celebrate Togehter™ Love Graphic Tee,11.99
317,Bali® Lace Desire Convertible Wireless Bra DF6591,44
318,Women's Jockey® No Panty Line Promise® 3-Pack Bikini ...,30
319,Women's Sonoma Goods For Life® Utility Bermuda ...,32
320,Women's Eddie Bauer Microlight Hooded Down Puffer ...,79.99
321,Women's LC Lauren Conrad Curvy High-Waist Skinny ...,39.99
322,Vanity Fair® Body Caress Wireless Bra 72335,48
323,Women's Croft & Barrow® Quilted Quarter-Zip Top,29.99
324,Women's LC Lauren Conrad Squareneck Puff Sleeve Top,42.99
325,Women's Nine West Tummy-Control Ponte Bootcut Pants,26.99
326,Women's Sonoma Goods For Life® V-Neck Tank,18
327,Women's Celebrate Together™ St. Patrick's Day V-Neck ...,9.99
328,Plus Size Lands' End Bust Enhancer UPF 50 V-Neck ...,78.95
329,Women's Sonoma Goods For Life® 10-Pack No Show Marled ...,9.99
330,Bali® Double Support Comfort-U Back Full-Figure Bra ...,44
331,Plus Size Tek Gear® French Terry Joggers,24.99
332,Women's Nine West Fitted Long Sleeve Cutout Top,26.99
333,Olga® by Warner's® Sheer Leaves Lace Full-Figure ...,42
334,Women's LC Lauren Conrad Squareneck Peasant Top,42.99
335,Plus Size Levi's® Classic Bootcut Jeans,48.65
336,Women's Croft & Barrow® Tassel Peasant Top,21.99
337,Women's LC Lauren Conrad High-Waist Bootcut Jeans,39.99
338,Juniors' SO® Soft Lift Convertible T-Shirt Bra ...,26
339,Women's Lands' End Chlorine Resistant Tummy Control ...,71.45
340,Vanity Fair® Illumination Front-Closure 3-Way ...,48
341,Women's AB Studio Mockneck Drop Shoulder Sweater,29.99
342,Olga® by Warner's® Easy Does It No Bulge Seamless ...,42
343,Women's Croft & Barrow® Three Quarter Sleeve Eyelet ...,21.6
344,Women's Sonoma Goods For Life® Utility Shorts,32
345,Petite Croft & Barrow® Pull-On Girlfriend Jeans,29.99
346,Women's Simply Vera Vera Wang Draped Open-Front ...,49.99
347,Women's Sonoma Goods For Life® Mid Rise Pull On ...,34.99
348,Plus Size Croft & Barrow® Pintuck Splitneck ...,34
349,Women's Jockey® 3-pk. Supersoft Brief Panty Set 2073,27
350,Women's Jockey® Elance 3-Pack French Cut Panty Set ...,24
351,Plus Size Columbia Switchback III Hooded Packable ...,49.99
352,Juniors' SO® Textured Cloud Cardigan,26.4
353,Women's Croft & Barrow® Ruffle Neck Blouse,32.99
354,Plus Size Croft & Barrow® Short Sleeve Henley ...,27.99
355,Women's Lilac+London Satin & Lace Pajama Cami & ...,27
356,Women's Sonoma Goods For Life® Mid-Rise Denim Jogger ...,34.99
357,Warners Elements of Bliss® Support and Comfort ...,44
358,Bali® Full-Figure Bra Passion for Comfort Bra 3383,48
359,Juniors' Unionbay Uniform Karma Skinny Pants,44
360,Women's LC Lauren Conrad Tie-Front Peasant Top,42.99
361,Warners Easy Does It® Dig-Free Comfort Band with ...,42
362,Playtex® 18 Hour Full Figure Smoothing Wireless ...,21.99
363,Plus Size Glamorise Full-Figure High-Impact ...,69
364,Women's Sonoma Goods For Life® Premium Denim Shorts,32
365,Womens Vanity Fair® Beauty Back Strapless Full Figure ...,50
366,Women's Simply Vera Vera Wang Slim Straight Leg ...,44.99
367,Vanity Fair® Beauty Back® Full Figure Wireless ...,50
368,Vanity Fair® Extreme Ego Boost Push-Up Bra 2131101,44
369,Women's RED HOT by SPANX® Open-Bust Mid-Thigh ...,66
370,Women's Croft & Barrow® V-Neck Midi Dress,39.99
371,"Women's Sonoma Goods For Life® Comfort Waist 5"" ...",19.2
372,Women's Nike Dri-FIT Attack Training Shorts,nan
373,Plus Size Lee® Relaxed Fit Straight-Leg Jeans,41.99
374,Vanity Fair® Beyond Comfort Simple Sizing Wireless ...,50
375,Women's Simply Vera Vera Wang Pleated Tank,36.99
376,Women's Nike Sportswear Club Fleece Hoodie,65
377,Women's Hanes® EcoSmart Full-Zip Hoodie Sweatshirt,30
378,Women's Croft & Barrow® Waffle-Knit Long Shawl-Collar ...,36.99
379,Women's Croft & Barrow® Sleeveless Flared Dress,49.99
380,Women's Simply Vera Vera Wang Powerstretch Skinny ...,44.99
381,Plus Size Croft & Barrow® Pull-On Denim Capri Pants,40
382,Olga® by Warner's® Butterfly Effect Full-Figure ...,42
383,Women's R&M Richards Cascade Midi Dress,62.3
384,Women's Nine West Pull-On Ponte Pencil Skirt,29.99
385,Women's LC Lauren Conrad Suede Moto Jacket,54.4
386,Women's Croft & Barrow® Short Sleeve Knit Nightgown,27.99
387,Women's Tek Gear® Quarter-Zip Performance Jacket,34.99
388,Women's Sonoma Goods For Life® Sleeveless Pintuck ...,24.99
389,Women's Tek Gear® Racerback Tank,14.99
390,Warners Play It Cool® Stay Cool and Dry Wireless Lift ...,44
391,Women's Croft & Barrow® Essential V-Neck Tee,11.99
392,Women's FLX Convertible Peplum Jacket,55.99
393,Women's Croft & Barrow® Comfortable Pull-On Jean ...,36
394,Women's Sonoma Goods For Life® Relaxed Rolled-Cuff ...,19.2
395,Women's Gloria Vanderbilt Amanda Pull-On Bermuda ...,49
396,Women's Nine West Curvy Slimming Bootcut Jeans,34.99
397,Women's Weathercast Modern Long Quilted Vest,63
398,Women's Nine West Short Sleeve Peplum Wrap Top,26.99
399,Women's Excelled Hybrid Hooded Puffer Coat,55
400,Juniors' SO® Curvy Super High-Rise Jeggings,24.99
401,Women's Celebrate Togehter™ Fleece Love Graphic ...,17.99
402,Women's LC Lauren Conrad Super High-Rise Wide-Leg ...,50
403,Women's Simply Vera Vera Wang Faux-Leather Blazer,66
404,Petite Simply Vera Vera Wang Pull-On Ankle Pants,42
405,Juniors' SO® High-Rise Pull On Flare Pants,35.2
406,Petite Nine West Relaxed Blazer,48
407,Women's Whet Blu Leather Trench Coat,340
408,Women's Croft & Barrow® Knit Straight-Leg Pants,24.99
409,Juniors' SO® High-Rise Paperbag Tapered Leg Pants,35.2
410,Women's Nina Leonard Draped Sleeve Cold-Shoulder ...,42
411,Women's Croft & Barrow® Short Sleeve Pajama Shirt & ...,29.99
412,Women's Nike Sportswear Club Fleece Oversized Hoodie,65
413,Women's Skechers® GOWALK™ JOY High-Waisted Pants,44.1
414,Women's Croft & Barrow® Cozy Short Sleeve Smocked ...,27
415,Women's adidas Athletic Low-Cut Sock 6-Pack,14
416,Women's Sonoma Goods For Life® Pleated Elbow-Sleeve ...,21.6
417,Women's Gaiam Om High-Rise Pocket Yoga Pants,38.5
418,Women's Jockey® 3-pk. Elance Breathe Hipster Panty ...,24
419,Women's Gloria Vanderbilt Kaia Denim Skimmer Shorts,54
420,Playtex® Bra: 18 Hour Full-Figure Bra 020 - Women's,21.99
421,Women's White Mark Button Up Tunic Top,43.19
422,Women's Nine West Fleece-Lined Soft-Shell Jacket,92
423,Women's LC Lauren Conrad Curvy Super High-Waisted ...,39.99
424,Plus Size Croft & Barrow® Tank,34
425,Women's Croft & Barrow® Pintuck Splitneck Sleeveless ...,30
426,Plus Size LC Lauren Conrad High-Waist Skinny Jeans,19.99
427,Women's Wrangler Stretch Flare Jeans and Corduroy,44.99
428,Juniors' SO® Long Sleeve Button Down Shirt,24.99
429,Women's Simply Vera Vera Wang Tunic Blouse,36
430,Plus Size Croft & Barrow® Smocked Sleeveless Tank,34
431,Women's Sonoma Goods For Life® High-Rise Utility ...,21.6
432,Women's Lands' End Tugless Sporty UPF 50 One-Piece ...,71.45
433,Plus Size Croft & Barrow® Tiered Textured Blouse,26.4
434,Petite Croft & Barrow® Essential Crewneck Tee,11.99
435,Women's Lands' End UPF 50 Blouson Tankini Top,78.95
436,Women's Eddie Bauer Girl On The Go Trench Coat,104.3
437,Women's Sonoma Goods For Life® Puff Sleeve Top,21.6
